         i         lr    lrdecay          p         wd   accuracy
       304        0.0        0.2        0.5        0.8       0.14
       305        0.0        0.9        0.2        0.4       0.40
       306       -3.0        0.5        0.6        0.2       0.08
       307       -2.0        1.0        0.0        0.3       0.40
       308        0.0        0.6        0.7        0.3       0.43
       309       -5.0        0.2        0.8        0.0       0.02
       310       -5.0        0.4        0.6        0.7       0.12
       311       -5.0        0.5        1.0        0.9       0.46
       312       -1.0        0.9        0.6        1.0       0.43
       313       -5.0        0.1        0.3        0.4       0.09
       314       -1.0        0.9        0.7        0.5       0.42
       315       -2.0        0.2        0.8        0.5       0.00
       316       -5.0        0.3        0.1        0.4       0.05
       317       -2.0        0.0        0.7        0.0       0.01
       318        0.0        0.4        0.7        0.8       0.26
       319       -5.0        0.3        0.4        1.0       0.07
       320       -3.0        0.4        0.5        0.8       0.01
       321       -5.0        0.4        0.9        0.1       0.05
       322       -1.0        0.5        0.5        0.8       0.03
       323        0.0        0.2        0.2        0.8       0.40
       324       -3.0        1.0        0.5        0.8       0.43
       325       -3.0        0.0        0.7        0.8       0.24
       326       -4.0        0.3        0.1        0.8       0.01
       327       -2.0        0.5        0.8        0.1       0.16
       328       -2.0        0.9        0.4        0.1       0.00
       329        0.0        0.4        0.4        0.4       0.40
       330       -2.0        0.9        1.0        0.4       0.06
       331       -2.0        0.5        0.4        0.5       0.17
       332       -2.0        0.4        0.2        0.4       0.07
       333       -5.0        0.2        0.5        0.8       0.19
       334       -2.0        0.4        0.5        0.7       0.02
       335       -2.0        0.7        0.1        0.7       0.14
       336       -5.0        0.1        0.1        0.9       0.02
       337       -4.0        0.6        0.1        0.4       0.14
       338       -1.0        0.5        0.9        0.0       0.39
       339       -2.0        0.9        0.2        0.0       0.08
       340        0.0        0.2        0.1        0.6       0.43
       341       -3.0        0.4        0.6        0.4       0.09
       342       -3.0        0.6        0.4        0.6       0.17
       343        0.0        1.0        0.0        0.5       0.40
       344       -2.0        0.5        0.5        1.0       0.30
       345       -4.0        0.9        0.6        0.2       0.03
       346       -2.0        0.7        0.7        0.7       0.09
       347       -3.0        0.5        0.5        0.1       0.23
       348        0.0        0.2        0.1        0.8       0.43
       349       -3.0        0.3        0.2        0.8       0.08
       350       -3.0        0.6        0.7        0.7       0.04
       351       -4.0        0.1        0.6        0.5       0.02
       352       -1.0        0.9        0.2        0.0       0.12
       353       -1.0        0.8        0.6        0.8       0.40
       354        0.0        0.9        0.4        0.7       0.43
       355       -4.0        0.6        0.3        0.3       0.06
       356       -4.0        0.1        0.9        0.5       0.03
       357        0.0        0.5        0.1        0.7       0.43
       358       -2.0        0.9        0.5        0.7       0.05
